Doctor_ID,Associated_Diseases,Rating,Arrival_Time,Departure_Time,Contact_Number
1,Typhoid,2.734368732528839,08:00,13:00,588-931-1737x263
2,Bronchial Asthma,1.527872644564309,10:00,14:00,001-819-659-1357
3,Impetigo,3.035805842668342,09:00,14:00,273-566-7103
4,peptic ulcer disease,1.9741154030156216,09:00,16:00,282-672-9720
5,urinary tract infection,2.493069958970133,08:00,16:00,236.903.7104x59392
6,Dimorphic Hemorrhoids,4.265820256273022,08:00,17:00,223.567.9811
7,Jaundice,1.3652071547756606,10:00,13:00,251-640-2323x5002
8,Migraine,1.2970585863277386,09:00,17:00,596.747.3399x48810
9,allergy,2.199580243772176,09:00,14:00,(739)636-5136
10,Malaria,4.224404676109458,09:00,14:00,001-230-901-4120x8456
11,PsoriasisVaricose Veins,2.4636550425296324,10:00,14:00,624.782.8846x95171
12,Typhoid,2.436709398988571,08:00,13:00,+1-857-972-4821x4960
13,allergy,2.4052920606805532,08:00,17:00,915.281.1978
14,Pneumonia,3.1591677006823202,09:00,13:00,(218)732-8525x075
15,Chicken pox,1.3730408213861098,08:00,17:00,856-569-4954
16,Fungal infection,1.1387294077389734,10:00,15:00,7517546479
17,Fungal infection,1.882757232864214,08:00,16:00,880.626.0244x74802
18,drug reaction,1.1946791076733487,10:00,17:00,(425)698-5007
19,Dimorphic Hemorrhoids,4.6829221174757585,09:00,15:00,001-648-360-8219
20,peptic ulcer disease,4.003323872902465,11:00,13:00,(942)493-2922x386
21,diabetes,3.3354199103230626,09:00,17:00,394-816-9636
22,Impetigo,2.65267489605369,10:00,15:00,(985)322-2979
23,Impetigo,4.456560338507991,11:00,17:00,+1-764-972-8994x57315
24,gastroesophageal reflux disease,2.4858016949293282,09:00,17:00,+1-913-558-2763
25,allergy,3.341678054248591,09:00,16:00,001-204-903-2455x6959
26,Chicken pox,2.9206764154191185,11:00,16:00,716.613.2233x035
27,Pneumonia,2.8120439822226646,08:00,17:00,+1-867-653-8153
28,Fungal infection,4.0255113223123775,11:00,16:00,(545)864-8274x06556
29,Malaria,4.389749925343029,11:00,13:00,385-417-3609
30,Cervical spondylosis,2.9814606080566524,09:00,13:00,795.935.9605x26179
31,Typhoid,3.7937637691823567,09:00,13:00,861-279-9378x6821
32,Hypertension,3.6911246700500056,10:00,15:00,691.521.7527x25824
33,PsoriasisVaricose Veins,3.2557526653084996,11:00,17:00,(980)347-5084x6189
34,urinary tract infection,4.810336976239416,08:00,15:00,9897705851
35,Hypertension,4.11205525675177,11:00,14:00,+1-897-216-2309x162
36,diabetes,2.813655290245097,11:00,13:00,001-852-215-4157x428
37,peptic ulcer disease,2.386558924187826,09:00,13:00,001-363-402-0617
38,Bronchial Asthma,1.675455132982857,08:00,16:00,001-251-202-2811x2174
39,Acne,1.4354573318413317,09:00,13:00,2224709515
40,Cervical spondylosis,3.9553642139600496,08:00,14:00,657-283-5981
41,gastroesophageal reflux disease,4.4447295820879695,09:00,14:00,+1-687-576-3400x3422
42,Pneumonia,4.817549283910907,09:00,17:00,+1-248-332-3883x7340
